Data,Q,Q_acc_1,Q_index_1,Q_acc_2,Q_index_2,Q_acc_3,Q_index_3,Q_acc_4,Q_index_4,Q_acc_5,Q_index_5,Q_acc_6,Q_index_6,Q_acc_7,Q_index_7,Q_acc_8,Q_index_8,Q_acc_9,Q_index_9,Q_acc_10,Q_index_10,Q_acc_11,Q_index_11,Q_acc_12,Q_index_12
1950-01-01,296.1501935483871,296.1501935483871,0.529401959137797,670.8126129032257,1.0398076268802618,980.9868129032257,0.9793321457463224,1221.6435225806451,0.7270861101956343,1440.145689247312,0.494754936893182,1668.8930440860217,0.34942905607211944,1907.0281086021505,0.25662998235691176,2157.6550086021507,0.20931473039424892,2431.3236537634407,0.22536653236901685,2756.3949870967745,0.3618992551688465,3128.938535483871,0.5843423228332569,3553.685392626728,0.8738562129869167
1950-02-01,291.5461428571429,291.5461428571429,0.471823811765402,587.69633640553,0.5172228074356415,962.3587557603687,0.8986152134882779,1272.5329557603686,0.9072528107631411,1513.189665437788,0.7243157976570729,1731.6918321044548,0.5317313730915165,1960.4391869431645,0.40309943055840425,2198.5742514592935,0.3166326142058662,2449.2011514592937,0.27021622222297387,2722.869796620584,0.28245043979381435,3047.941129953917,0.40627998393950937,3420.484678341014,0.6068278599345763
1950-03-01,334.071935483871,334.071935483871,0.9826331690785046,625.6180783410139,0.7612987162596878,921.768271889401,0.7191137758742853,1296.4306912442398,0.9902291930884023,1606.6048912442398,1.0075002060613805,1847.2616009216592,0.8561205179662028,2065.7637675883257,0.6843597971770582,2294.5111224270354,0.5631472842780426,2532.6461869431646,0.4767289803689972,2783.2730869431643,0.4251334012601193,3056.941732104455,0.4262204759050882,3382.013065437788,0.5284259166338735
1950-04-01,335.7627666666667,335.7627666666667,1.0020372646696563,669.8347021505376,1.0339134315486258,961.3808450076806,0.8943496654575208,1257.5310385560679,0.8546405315812081,1632.1934579109065,1.0831767449053185,1942.3676579109065,1.1131889131098593,2183.0243675883257,0.9865699713782133,2401.5265342549924,0.8302088733668522,2630.273889093702,0.7126947237113193,2868.408953609831,0.6227925009729567,3119.035853609831,0.5627377371272662,3392.7044987711215,0.5502732019044915
1950-05-01,291.6207419354839,291.6207419354839,0.47276151624950863,627.3835086021506,0.7724214332392362,961.4554440860217,0.894675159313003,1253.0015869431645,0.8386746364808002,1549.1517804915518,0.8346583484924157,1923.8141998463905,1.063698854456874,2233.98839984639,1.1145902166736201,2474.64510952381,1.0081953542098985,2693.147276190476,0.8616090767572158,2921.8946310291863,0.7449903257342637,3160.029695545315,0.6518807804253892,3410.6565955453148,0.5868548279120449
1950-06-01,239.4294333333333,239.4294333333333,-0.22664006791174615,531.0501752688172,0.13242299715123537,866.8129419354839,0.4675947703765336,1200.8848774193548,0.6521749307223755,1492.4310202764977,0.6598339344688432,1788.581213824885,0.6931403030299065,2163.2436331797235,0.9363524890493219,2473.4178331797234,1.0052366591654878,2714.0745428571427,0.9106656132964118,2932.5767095238098,0.7692179651620039,3161.3240643625195,0.6546829459169098,3399.4591288786487,0.5640523654875695
1950-07-01,229.7871612903226,229.7871612903226,-0.36676833450271645,469.21659462365585,-0.3202599140891476,760.8373365591398,-0.04901782824558867,1096.6001032258066,0.262294253010193,1430.6720387096775,0.46442193620645134,1722.2181815668202,0.504513345545765,2018.3683751152075,0.5589976700516975,2393.030794470046,0.8092979914884172,2703.204994470046,0.8852170693336672,2943.861704147466,0.7947498139256698,3162.363870814132,0.6569334621441164,3391.1112256528418,0.5470203422070227
1950-08-01,221.349935483871,221.349935483871,-0.4926740118795333,451.13709677419354,-0.4601407286395683,690.5665301075269,-0.4187022418014405,982.1872720430108,-0.1949394755167945,1317.9500387096775,0.09282594622492288,1652.0219741935487,0.2996800159958541,1943.5681170506916,0.35712317419225464,2239.7183105990784,0.4232107351645292,2614.380729953917,0.6746805673092391,2924.5549299539175,0.7510295195552626,3165.2116396313363,0.663094555310198,3383.713806298003,0.5319043342375175
1950-09-01,213.4392,213.4392,-0.6137068143057355,434.78913548387095,-0.5899219767754871,664.5762967741936,-0.5618430742651683,904.0057301075269,-0.5283274630810804,1195.6264720430108,-0.3352435933196328,1531.3892387096776,-0.0662841291589205,1865.4611741935487,0.1407430301308987,2157.0073170506917,0.2076052102734464,2453.1575105990787,0.28011219661416237,2827.819929953917,0.529049382039463,3137.9941299539173,0.6040592217644604,3378.6508396313366,0.5215459559461009
1950-10-01,229.4338709677419,229.4338709677419,-0.3719771898315735,442.87307096774185,-0.5253412365576884,664.223006451613,-0.5638146560376484,894.0101677419354,-0.5723348113910689,1133.4396010752687,-0.5642195217839528,1425.0603430107526,-0.40518927566278473,1760.8231096774193,-0.1588113626981301,2094.8950451612905,0.04205212754785004,2386.4411880184334,0.11179350282326588,2682.5913815668205,0.18613296091538364,3057.253800921659,0.42691115321627937,3367.428000921659,0.49854829012408475
1950-11-01,284.7724666666666,284.7724666666666,0.38600927509915345,514.2063376344084,0.012765731622230454,727.6455376344086,-0.22064341121163067,948.9954731182795,-0.33421478635938723,1178.782634408602,-0.3964561701190409,1418.2120677419352,-0.42759090822950335,1709.8328096774194,-0.309111904100161,2045.595576344086,-0.09169523770853988,2379.6675118279572,0.09452981453933365,2671.2136546850998,0.1587513657474281,2967.3638482334873,0.22599691646920525,3342.026267588326,0.44630709873687113
1950-12-01,301.0893225806452,301.0893225806452,0.5905174305944922,585.8617892473119,0.5051549911991206,815.2956602150537,0.2220431935966524,1028.7348602150537,-0.004839413093837175,1250.0847956989246,-0.14121180982323028,1479.8719569892473,-0.2284468906285877,1719.3013903225806,-0.28097711128112807,2010.9221322580645,-0.18705810342552853,2346.684898924731,0.009997501333410087,2680.756834408602,0.18172318072262184,2972.3029772657455,0.23714066479655893,3268.453170814132,0.2934937108423425
1951-01-01,278.504,278.504,0.3053824243177126,579.5933225806452,0.46373103308900954,864.3657892473118,0.4561527732723143,1093.7996602150538,0.25149210505156205,1307.2388602150538,0.056431227956268204,1528.588795698925,-0.0750045739667422,1758.3759569892472,-0.1659575902418138,1997.8053903225805,-0.2234199804500618,2289.4261322580646,-0.1386559523636486,2625.1888989247313,0.0471888147182968,2959.2608344086025,0.20768799828239287,3250.8069772657454,0.2565029377557129
1951-02-01,268.4793928571428,268.4793928571428,0.17390119468143106,546.9833928571427,0.24330604869667408,848.072715437788,0.37942026237530796,1132.8451821044546,0.40047898833367057,1362.2790530721966,0.24138798320416713,1575.7182530721966,0.07035762232168104,1797.0681885560675,-0.05373686911192199,2026.8553498463903,-0.14310132086925992,2266.2847831797235,-0.19943983120331396,2557.9055251152076,-0.11827598618397638,2893.668291781874,0.05823718842383725,3227.740227265745,0.20794742518441944
1951-03-01,280.257935483871,280.257935483871,0.328062252398122,548.7373283410137,0.2553802465087586,827.2413283410137,0.279877879806876,1128.330650921659,0.3834286672194545,1413.1031175883256,0.40781540658099574,1642.5369885560674,0.2715626198175432,1855.9761885560674,0.11405893690402355,2077.326124039939,-0.0053682567261887325,2307.113285330261,-0.09247463692488007,2546.5427186635943,-0.14650557863647343,2838.1634605990785,-0.070003072195097,3173.926227265745,0.09376407422163678
