,0,1,2,3,4,5,6,7,8,mean
lon,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-45.5
lat,-10.5,-10.5,-10.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.5,-11.5
2/1/1947 0:00,169.91,107.72,163.23,193.85,119.48,148.15,175.01,128.7,171.6,153.0722222
3/1/1947 0:00,428.54,344.92,327.77,499.53,352.74,381.59,588.68,413.49,340.14,408.6
4/1/1947 0:00,78.91,64.03,50.45,82.05,34.27,43.04,89.87,88.15,49.95,64.52444444
5/1/1947 0:00,22.45,13.59,2.62,16.47,8.89,2.42,8.01,5.04,3.99,9.275555556
6/1/1947 0:00,1.94,1.36,0.68,3.44,0.65,0.34,2.38,1.33,0.4,1.391111111
7/1/1947 0:00,1.04,0,0.03,1.46,0.55,0.01,0.45,0.52,0.03,0.454444444
8/1/1947 0:00,7.24,1.35,1.57,18.53,4.16,0.56,41.13,9.54,2.99,9.674444444
9/1/1947 0:00,18.72,5.91,0.15,29.51,9.53,1.66,49.9,17.71,7.36,15.60555556
10/1/1947 0:00,115.39,81.94,125.68,131.88,135.98,122.48,140.58,112.59,105.29,119.09
11/1/1947 0:00,320.38,388.42,391.72,289.68,400.07,360.29,283.16,328.22,327.1,343.2266667
12/1/1947 0:00,272.31,111.94,91.83,373.64,143.05,141.67,421.02,285.02,180.4,224.5422222
1/1/1948 0:00,98.01,52.3,28.45,162.64,99.54,43.18,297.81,160.45,79.11,113.4988889
2/1/1948 0:00,139.85,101.96,68.93,161.79,136.25,83.55,171.12,135.16,92.51,121.2355556
3/1/1948 0:00,184.91,163.2,140.35,193.2,166.47,151.22,213.93,198.96,154.04,174.0311111
4/1/1948 0:00,90.54,90.4,30.23,77.03,56.73,39.59,79.09,46.17,41.73,61.27888889
5/1/1948 0:00,17.12,5.77,0.38,15.29,4.59,0.89,7.93,4,3.41,6.597777778
6/1/1948 0:00,1.94,1.35,0.71,3.69,0.71,0.99,3.64,1.5,0.44,1.663333333
7/1/1948 0:00,0.99,0,0.03,1.47,0.55,0.07,0.45,0.52,0.03,0.456666667
8/1/1948 0:00,2.51,0.71,0.7,1.98,1.08,0,0.51,1.07,1.25,1.09
9/1/1948 0:00,35.53,12.06,2,33.82,8.74,2.57,13.08,4.04,9.23,13.45222222
10/1/1948 0:00,167.89,134.8,76.73,154.82,108.53,59.55,115.59,94.43,99.39,112.4144444
11/1/1948 0:00,215.35,251.54,203.8,219.7,254.38,192.36,245.88,137.04,160.74,208.9766667
12/1/1948 0:00,452.3,405.01,396.19,523.26,462.76,385.35,663.75,589.38,417.6,477.2888889
1/1/1949 0:00,225.65,176.54,91.2,246,172.68,114.17,295.03,260.05,165.63,194.1055556
