;Er (m)
2003-10-01 00:00:00;-0.0012031883
2003-11-01 00:00:00;-0.0028977687
2003-12-01 00:00:00;-0.003127952
2004-01-01 00:00:00;-0.0031279745
2004-02-01 00:00:00;-0.0037185813
2004-03-01 00:00:00;-0.0036629457
2004-04-01 00:00:00;-0.003326581
2004-05-01 00:00:00;-0.0017792156
2004-06-01 00:00:00;-0.0011149077
2004-07-01 00:00:00;-0.00086294155
2004-08-01 00:00:00;-0.0008523567
2004-09-01 00:00:00;-0.0008474514
2004-10-01 00:00:00;-0.0014646068
2004-11-01 00:00:00;-0.0020580927
2004-12-01 00:00:00;-0.003904882
2005-01-01 00:00:00;-0.0036231515
2005-02-01 00:00:00;-0.00397889
2005-03-01 00:00:00;-0.003707445
2005-04-01 00:00:00;-0.0034651563
2005-05-01 00:00:00;-0.0028685655
2005-06-01 00:00:00;-0.0015229521
2005-07-01 00:00:00;-0.0011265922
2005-08-01 00:00:00;-0.001002007
2005-09-01 00:00:00;-0.001160169
2005-10-01 00:00:00;-0.0010876916
2005-11-01 00:00:00;-0.0028427527
2005-12-01 00:00:00;-0.003429796
